SNo,County or equivalent,State or district,Rank,Population,Core Based Statistical Area,Combined Statistical Area
1,Autauga County,Alabama,907,"55,514","Montgomery, AL Metropolitan Statistical Area",
2,Baldwin County,Alabama,332,"190,790","Daphne-Fairhope-Foley, AL Micropolitan Statistical Area","Mobile-Daphne-Fairhope, AL Combined Statistical Area"
3,Barbour County,Alabama,1523,"27,201",,
4,Bibb County,Alabama,1707,"22,597","Birmingham-Hoover, AL Metropolitan Statistical Area","Birmingham-Hoover-Talladega, AL Combined Statistical Area"
5,Blount County,Alabama,882,"57,826","Birmingham-Hoover, AL Metropolitan Statistical Area","Birmingham-Hoover-Talladega, AL Combined Statistical Area"
6,Bullock County,Alabama,2397,"10,474",,
7,Butler County,Alabama,1825,"20,307",,
8,Calhoun County,Alabama,518,"117,296","Anniston-Oxford-Jacksonville, AL Metropolitan Statistical Area",
9,Chambers County,Alabama,1327,"34,064","Valley, AL Micropolitan Statistical Area","Columbus-Auburn-Opelika, GA-AL Combined Statistical Area"
10,Cherokee County,Alabama,1562,"26,021",,
11,Chilton County,Alabama,1090,"43,819","Birmingham-Hoover, AL Metropolitan Statistical Area","Birmingham-Hoover-Talladega, AL Combined Statistical Area"
12,Choctaw County,Alabama,2206,"13,633",,
13,Clarke County,Alabama,1601,"25,161",,
14,Clay County,Alabama,2217,"13,435",,
15,Cleburne County,Alabama,2122,"14,832",,
16,Coffee County,Alabama,965,"51,252","Enterprise, AL Micropolitan Statistical Area","Dothan-Enterprise-Ozark, AL Combined Statistical Area"
17,Colbert County,Alabama,918,"54,446","Florence-Muscle Shoals, AL Metropolitan Statistical Area",
18,Conecuh County,Alabama,2241,"12,981",,
19,Coosa County,Alabama,2362,"10,966","Talladega-Sylacauga, AL Micropolitan Statistical Area","Birmingham-Hoover-Talladega, AL Combined Statistical Area"
20,Covington County,Alabama,1225,"37,955",,
21,Crenshaw County,Alabama,2169,"14,083",,
22,Cullman County,Alabama,686,"80,440","Cullman, AL Micropolitan Statistical Area","Birmingham-Hoover-Talladega, AL Combined Statistical Area"
23,Dale County,Alabama,972,"50,444","Ozark, AL Micropolitan Statistical Area","Dothan-Enterprise-Ozark, AL Combined Statistical Area"
24,Dallas County,Alabama,1115,"42,864","Selma, AL Micropolitan Statistical Area",
25,DeKalb County,Alabama,752,"71,080",,
26,Elmore County,Alabama,685,"80,629","Montgomery, AL Metropolitan Statistical Area",
27,Escambia County,Alabama,1223,"37,994",,
28,Etowah County,Alabama,564,"104,392","Gadsden, AL Metropolitan Statistical Area",
29,Fayette County,Alabama,1984,"16,983",,
30,Franklin County,Alabama,1393,"31,761",,
31,Geneva County,Alabama,1532,"26,931","Dothan, AL Metropolitan Statistical Area","Dothan-Enterprise-Ozark, AL Combined Statistical Area"
32,Greene County,Alabama,2529,"8,876",,
33,Hale County,Alabama,2081,"15,388","Tuscaloosa, AL Metropolitan Statistical Area",
34,Henry County,Alabama,1964,"17,287","Dothan, AL Metropolitan Statistical Area","Dothan-Enterprise-Ozark, AL Combined Statistical Area"
35,Houston County,Alabama,566,"103,402","Dothan, AL Metropolitan Statistical Area","Dothan-Enterprise-Ozark, AL Combined Statistical Area"
36,Jackson County,Alabama,938,"53,019","Scottsboro, AL Micropolitan Statistical Area","Chattanooga-Cleveland-Dalton, TN-GA-AL Combined Statistical Area"
37,Jefferson County,Alabama,93,"660,009","Birmingham-Hoover, AL Metropolitan Statistical Area","Birmingham-Hoover-Talladega, AL Combined Statistical Area"
38,Lamar County,Alabama,2156,"14,259",,
39,Lauderdale County,Alabama,625,"92,542","Florence-Muscle Shoals, AL Metropolitan Statistical Area",
40,Lawrence County,Alabama,1330,"33,838","Decatur, AL Metropolitan Statistical Area","Huntsville-Decatur-Albertville, AL Combined Statistical Area"
41,Lee County,Alabama,428,"147,257","Auburn-Opelika, AL Metropolitan Statistical Area","Columbus-Auburn-Opelika, GA-AL Combined Statistical Area"
42,Limestone County,Alabama,648,"87,654","Huntsville, AL Metropolitan Statistical Area","Huntsville-Decatur-Albertville, AL Combined Statistical Area"
43,Lowndes County,Alabama,2370,"10,857","Montgomery, AL Metropolitan Statistical Area",
44,Macon County,Alabama,1812,"20,535",,
45,Madison County,Alabama,192,"343,080","Huntsville, AL Metropolitan Statistical Area","Huntsville-Decatur-Albertville, AL Combined Statistical Area"
46,Marengo County,Alabama,1821,"20,401",,
47,Marion County,Alabama,1422,"30,327",,
48,Marshall County,Alabama,612,"94,776","Albertville, AL Micropolitan Statistical Area","Huntsville-Decatur-Albertville, AL Combined Statistical Area"
49,Mobile County,Alabama,165,"413,936","Mobile, AL Metropolitan Statistical Area","Mobile-Daphne-Fairhope, AL Combined Statistical Area"
50,Monroe County,Alabama,1706,"22,602",,
51,Montgomery County,Alabama,279,"230,149","Montgomery, AL Metropolitan Statistical Area",
52,Morgan County,Alabama,506,"120,395","Decatur, AL Metropolitan Statistical Area","Huntsville-Decatur-Albertville, AL Combined Statistical Area"
53,Perry County,Alabama,2426,"10,181",,
54,Pickens County,Alabama,1860,"19,405","Tuscaloosa, AL Metropolitan Statistical Area",
55,Pike County,Alabama,1349,"33,182","Troy, AL Micropolitan Statistical Area",
56,Randolph County,Alabama,1701,"22,675",,
57,Russell County,Alabama,883,"57,820","Columbus, GA-AL Metropolitan Statistical Area","Columbus-Auburn-Opelika, GA-AL Combined Statistical Area"
58,St. Clair County,Alabama,661,"85,237","Birmingham-Hoover, AL Metropolitan Statistical Area","Birmingham-Hoover-Talladega, AL Combined Statistical Area"
59,Shelby County,Alabama,313,"200,941","Birmingham-Hoover, AL Metropolitan Statistical Area","Birmingham-Hoover-Talladega, AL Combined Statistical Area"
60,Sumter County,Alabama,2218,"13,427",,
61,Talladega County,Alabama,678,"81,762","Talladega-Sylacauga, AL Micropolitan Statistical Area","Birmingham-Hoover-Talladega, AL Combined Statistical Area"
62,Tallapoosa County,Alabama,1148,"41,168",,
63,Tuscaloosa County,Alabama,321,"198,596","Tuscaloosa, AL Metropolitan Statistical Area",
64,Walker County,Alabama,795,"66,221","Birmingham-Hoover, AL Metropolitan Statistical Area","Birmingham-Hoover-Talladega, AL Combined Statistical Area"
65,Washington County,Alabama,1970,"17,109",,
66,Wilcox County,Alabama,2333,"11,431",,
67,Winston County,Alabama,1637,"24,108",,
68,Aleutians East Borough,Alaska,2965,"3,161",,
69,Aleutians West Census Area,Alaska,2800,"5,547",,
70,"Anchorage, Municipality of",Alaska,220,"298,610","Anchorage, AK Metropolitan Statistical Area",
71,Bethel Census Area,Alaska,1931,"17,746",,
72,Bristol Bay Borough,Alaska,3109,991,,
73,Denali Borough,Alaska,3067,"1,875",,
74,Dillingham Census Area,Alaska,2835,"5,034",,
75,Fairbanks North Star Borough,Alaska,588,"100,272","Fairbanks, AK Metropolitan Statistical Area",
76,Haines Borough,Alaska,3006,"2,552",,
77,Hoonah-Angoon Census Area,Alaska,3041,"2,129",,
78,"Juneau, City and Borough",Alaska,1370,"32,556","Juneau, AK Micropolitan Statistical Area",
79,Kenai Peninsula Borough,Alaska,892,"56,900",,
80,Ketchikan Gateway Borough,Alaska,2189,"13,779","Ketchikan, AK Micropolitan Statistical Area",
81,Kodiak Island Borough,Alaska,2159,"14,239",,
82,Lake and Peninsula Borough,Alaska,3077,"1,654",,
83,Matanuska-Susitna Borough,Alaska,616,"93,925","Anchorage, AK Metropolitan Statistical Area",
84,Nome Census Area,Alaska,2449,"9,915",,
85,North Slope Borough,Alaska,2460,"9,643",,
86,Northwest Arctic Borough,Alaska,2614,"7,810",,
87,Petersburg Census Area,Alaska,2918,"3,844",,
88,Prince of Wales-Hyder Census Area,Alaska,2789,"5,751",,
89,"Sitka, City and Borough of",Alaska,2515,"9,046",,
90,"Skagway Borough, Municipality of",Alaska,3110,959,,
91,Southeast Fairbanks Census Area,Alaska,2669,"7,144",,
92,Valdez-Cordova Census Area,Alaska,2458,"9,717",,
93,Wade Hampton Census Area,Alaska,2615,"7,809",,
94,"Wrangell, City and Borough of",Alaska,3014,"2,403",,
95,"Yakutat, City and Borough of",Alaska,3132,668,,
96,Yukon-Koyukuk Census Area,Alaska,2785,"5,770",,
97,Apache County,Arizona,743,"73,195",,
98,Cochise County,Arizona,473,"132,088","Sierra Vista-Douglas, AZ Metropolitan Statistical Area",
99,Coconino County,Arizona,457,"136,011","Flagstaff, AZ Metropolitan Statistical Area",
100,Gila County,Arizona,936,"53,144","Payson, AZ Micropolitan Statistical Area",
101,Graham County,Arizona,1236,"37,416","Safford, AZ Micropolitan Statistical Area",
102,Greenlee County,Arizona,2534,"8,802",,
103,La Paz County,Arizona,1826,"20,281",,
104,Maricopa County,Arizona,4,"3,942,169","Phoenix-Mesa-Scottsdale, AZ Metropolitan Statistical Area",
105,Mohave County,Arizona,309,"203,334","Lake Havasu City-Kingman, AZ Metropolitan Statistical Area","Las Vegas-Henderson, NV-AZ Combined Statistical Area"
106,Navajo County,Arizona,555,"107,094","Show Low, AZ Micropolitan Statistical Area",
107,Pima County,Arizona,42,"992,394","Tucson, AZ Metropolitan Statistical Area","Tucson-Nogales, AZ Combined Statistical Area"
108,Pinal County,Arizona,173,"387,365","Phoenix-Mesa-Scottsdale, AZ Metropolitan Statistical Area",
109,Santa Cruz County,Arizona,1022,"47,303","Nogales, AZ Micropolitan Statistical Area","Tucson-Nogales, AZ Combined Statistical Area"
110,Yavapai County,Arizona,296,"212,637","Prescott, AZ Metropolitan Statistical Area",
111,Yuma County,Arizona,316,"200,022","Yuma, AZ Metropolitan Statistical Area",
112,Arkansas County,Arkansas,1880,"18,892",,
113,Ashley County,Arkansas,1752,"21,524",,
114,Baxter County,Arkansas,1153,"41,048","Mountain Home, AR Micropolitan Statistical Area",
115,Benton County,Arkansas,278,"232,268","Fayetteville-Springdale-Rogers, AR-MO Metropolitan Statistical Area",
116,Boone County,Arkansas,1238,"37,327","Harrison, AR Micropolitan Statistical Area",
117,Bradley County,Arkansas,2336,"11,397",,
118,Calhoun County,Arkansas,2818,"5,307","Camden, AR Micropolitan Statistical Area",
119,Carroll County,Arkansas,1508,"27,610",,
120,Chicot County,Arkansas,2332,"11,433",,
121,Clark County,Arkansas,1692,"22,936","Arkadelphia, AR Micropolitan Statistical Area",
122,Clay County,Arkansas,2066,"15,684",,
123,Cleburne County,Arkansas,1575,"25,808",,
124,Cleveland County,Arkansas,2554,"8,627","Pine Bluff, AR Metropolitan Statistical Area","Little Rock-North Little Rock, AR Combined Statistical Area"
125,Columbia County,Arkansas,1625,"24,473","Magnolia, AR Micropolitan Statistical Area",
126,Conway County,Arkansas,1768,"21,287",,
127,Craighead County,Arkansas,590,"99,735","Jonesboro, AR Metropolitan Statistical Area","Jonesboro-Paragould, AR Combined Statistical Area"
128,Crawford County,Arkansas,840,"61,946","Fort Smith, AR-OK Metropolitan Statistical Area",
129,Crittenden County,Arkansas,977,"50,021","Memphis, TN-MS-AR Metropolitan Statistical Area","Memphis-Forrest City, TN-MS-AR Combined Statistical Area"
130,Cross County,Arkansas,1935,"17,683",,
131,Dallas County,Arkansas,2600,"7,987",,
132,Desha County,Arkansas,2271,"12,545",,
133,Drew County,Arkansas,1886,"18,743",,
134,Faulkner County,Arkansas,512,"118,704","Little Rock-North Little Rock-Conway, AR Metropolitan Statistical Area","Little Rock-North Little Rock, AR Combined Statistical Area"
135,Franklin County,Arkansas,1919,"18,045",,
136,Fulton County,Arkansas,2287,"12,318",,
137,Garland County,Arkansas,604,"96,903","Hot Springs, AR Metropolitan Statistical Area","Hot Springs-Malvern, AR Combined Statistical Area"
138,Grant County,Arkansas,1921,"17,986","Little Rock-North Little Rock-Conway, AR Metropolitan Statistical Area","Little Rock-North Little Rock, AR Combined Statistical Area"
139,Greene County,Arkansas,1104,"43,163","Paragould, AR Micropolitan Statistical Area","Jonesboro-Paragould, AR Combined Statistical Area"
140,Hempstead County,Arkansas,1716,"22,373",,
141,Hot Spring County,Arkansas,1343,"33,394","Malvern, AR Micropolitan Statistical Area","Hot Springs-Malvern, AR Combined Statistical Area"
142,Howard County,Arkansas,2195,"13,735",,
143,Independence County,Arkansas,1245,"37,025","Batesville, AR Micropolitan Statistical Area",
144,Izard County,Arkansas,2214,"13,474",,
145,Jackson County,Arkansas,1943,"17,600",,
146,Jefferson County,Arkansas,732,"74,723","Pine Bluff, AR Metropolitan Statistical Area","Little Rock-North Little Rock, AR Combined Statistical Area"
147,Johnson County,Arkansas,1568,"25,901",,
148,Lafayette County,Arkansas,2647,"7,447",,
149,Lawrence County,Arkansas,1979,"17,012",,
150,Lee County,Arkansas,2424,"10,216",,
151,Lincoln County,Arkansas,2168,"14,101","Pine Bluff, AR Metropolitan Statistical Area","Little Rock-North Little Rock, AR Combined Statistical Area"
152,Little River County,Arkansas,2248,"12,919","Texarkana, TX-AR Metropolitan Statistical Area",
153,Logan County,Arkansas,1732,"21,983",,
154,Lonoke County,Arkansas,761,"69,839","Little Rock-North Little Rock-Conway, AR Metropolitan Statistical Area","Little Rock-North Little Rock, AR Combined Statistical Area"
155,Madison County,Arkansas,2070,"15,645","Fayetteville-Springdale-Rogers, AR-MO Metropolitan Statistical Area",
156,Marion County,Arkansas,2006,"16,568",,
157,Miller County,Arkansas,1095,"43,634","Texarkana, TX-AR Metropolitan Statistical Area",
158,Mississippi County,Arkansas,1057,"45,562","Blytheville, AR Micropolitan Statistical Area",
159,Monroe County,Arkansas,2612,"7,828",,
160,Montgomery County,Arkansas,2487,"9,340",,
161,Nevada County,Arkansas,2526,"8,925",,
162,Newton County,Arkansas,2595,"8,086","Harrison, AR Micropolitan Statistical Area",
163,Ouachita County,Arkansas,1593,"25,396","Camden, AR Micropolitan Statistical Area",
164,Perry County,Arkansas,2410,"10,339","Little Rock-North Little Rock-Conway, AR Metropolitan Statistical Area","Little Rock-North Little Rock, AR Combined Statistical Area"
165,Phillips County,Arkansas,1790,"20,784","Helena-West Helena, AR Micropolitan Statistical Area",
166,Pike County,Arkansas,2340,"11,247",,
167,Poinsett County,Arkansas,1633,"24,307","Jonesboro, AR Metropolitan Statistical Area","Jonesboro-Paragould, AR Combined Statistical Area"
168,Polk County,Arkansas,1817,"20,471",,
169,Pope County,Arkansas,832,"62,765","Russellville, AR Micropolitan Statistical Area",
170,Prairie County,Arkansas,2568,"8,458",,
171,Pulaski County,Arkansas,172,"388,953","Little Rock-North Little Rock-Conway, AR Metropolitan Statistical Area","Little Rock-North Little Rock, AR Combined Statistical Area"
172,Randolph County,Arkansas,1924,"17,930",,
173,St. Francis County,Arkansas,1500,"27,858","Forrest City, AR Micropolitan Statistical Area","Memphis-Forrest City, TN-MS-AR Combined Statistical Area"
174,Saline County,Arkansas,539,"111,845","Little Rock-North Little Rock-Conway, AR Metropolitan Statistical Area","Little Rock-North Little Rock, AR Combined Statistical Area"
175,Scott County,Arkansas,2357,"11,010",,
176,Searcy County,Arkansas,2599,"8,007",,
177,Sebastian County,Arkansas,484,"127,304","Fort Smith, AR-OK Metropolitan Statistical Area",
178,Sevier County,Arkansas,1966,"17,177",,
179,Sharp County,Arkansas,1975,"17,054",,
180,Stone County,Arkansas,2263,"12,663",,
181,Union County,Arkansas,1157,"40,867","El Dorado, AR Micropolitan Statistical Area",
182,Van Buren County,Arkansas,1978,"17,030",,
183,Washington County,Arkansas,297,"211,411","Fayetteville-Springdale-Rogers, AR-MO Metropolitan Statistical Area",
184,White County,Arkansas,700,"78,493","Searcy, AR Micropolitan Statistical Area","Little Rock-North Little Rock, AR Combined Statistical Area"
185,Woodruff County,Arkansas,2674,"7,100",,
186,Yell County,Arkansas,1733,"21,932","Russellville, AR Micropolitan Statistical Area",
187,Alameda County,California,21,"1,554,720","San Francisco-Oakland-Hayward, CA Metropolitan Statistical Area","San Jose-San Francisco-Oakland, CA Combined Statistical Area"
188,Alpine County,California,3104,"1,129",,
189,Amador County,California,1244,"37,035",,
190,Butte County,California,285,"221,539","Chico, CA Metropolitan Statistical Area",
191,Calaveras County,California,1074,"44,742",,
192,Colusa County,California,1761,"21,411",,
193,Contra Costa County,California,38,"1,079,597","San Francisco-Oakland-Hayward, CA Metropolitan Statistical Area","San Jose-San Francisco-Oakland, CA Combined Statistical Area"
194,Del Norte County,California,1479,"28,290","Crescent City, CA Micropolitan Statistical Area",
195,El Dorado County,California,351,"180,561","Sacramento–Roseville–Arden-Arcade, CA Metropolitan Statistical Area","Sacramento-Roseville, CA Combined Statistical Area"
196,Fresno County,California,49,"947,895","Fresno, CA Metropolitan Statistical Area","Fresno-Madera, CA Combined Statistical Area"
197,Glenn County,California,1495,"27,992",,
198,Humboldt County,California,465,"134,827","Eureka-Arcata-Fortuna, CA Micropolitan Statistical Area",
199,Imperial County,California,356,"176,948","El Centro, CA Metropolitan Statistical Area",
200,Inyo County,California,1896,"18,495",,
201,Kern County,California,61,"856,158","Bakersfield, CA Metropolitan Statistical Area",
202,Kings County,California,417,"151,364","Hanford-Corcoran, CA Metropolitan Statistical Area","Visalia-Porterville-Hanford, CA Combined Statistical Area"
203,Lake County,California,820,"63,983","Clearlake, CA Micropolitan Statistical Area",
204,Lassen County,California,1335,"33,658","Susanville, CA Micropolitan Statistical Area",
205,Los Angeles County,California,1,"9,962,789","Los Angeles-Long Beach-Anaheim, CA Metropolitan Statistical Area","Los Angeles-Long Beach, CA Combined Statistical Area"
206,Madera County,California,413,"152,218","Madera, CA Metropolitan Statistical Area","Fresno-Madera, CA Combined Statistical Area"
207,Marin County,California,258,"256,069","San Francisco-Oakland-Hayward, CA Metropolitan Statistical Area","San Jose-San Francisco-Oakland, CA Combined Statistical Area"
208,Mariposa County,California,1925,"17,905",,
209,Mendocino County,California,651,"87,428","Ukiah, CA Micropolitan Statistical Area",
210,Merced County,California,254,"262,305","Merced, CA Metropolitan Statistical Area","Modesto-Merced, CA Combined Statistical Area"
211,Modoc County,California,2490,"9,327",,
212,Mono County,California,2145,"14,348",,
213,Monterey County,California,161,"426,762","Salinas, CA Metropolitan Statistical Area",
214,Napa County,California,450,"139,045","Napa, CA Metropolitan Statistical Area","San Jose-San Francisco-Oakland, CA Combined Statistical Area"
215,Nevada County,California,597,"98,292","Truckee-Grass Valley, CA Micropolitan Statistical Area","Sacramento-Roseville, CA Combined Statistical Area"
216,Orange County,California,6,"3,090,132","Los Angeles-Long Beach-Anaheim, CA Metropolitan Statistical Area","Los Angeles-Long Beach, CA Combined Statistical Area"
217,Placer County,California,184,"361,682","Sacramento–Roseville–Arden-Arcade, CA Metropolitan Statistical Area","Sacramento-Roseville, CA Combined Statistical Area"
218,Plumas County,California,1861,"19,399",,
219,Riverside County,California,11,"2,268,783","Riverside-San Bernardino-Ontario, CA Metropolitan Statistical Area","Los Angeles-Long Beach, CA Combined Statistical Area"
220,Sacramento County,California,25,"1,450,121","Sacramento–Roseville–Arden-Arcade, CA Metropolitan Statistical Area","Sacramento-Roseville, CA Combined Statistical Area"
221,San Benito County,California,894,"56,884","San Jose-Sunnyvale-Santa Clara, CA Metropolitan Statistical Area","San Jose-San Francisco-Oakland, CA Combined Statistical Area"
222,San Bernardino County,California,12,"2,081,313","Riverside-San Bernardino-Ontario, CA Metropolitan Statistical Area","Los Angeles-Long Beach, CA Combined Statistical Area"
223,San Diego County,California,5,"3,177,063","San Diego-Carlsbad, CA Metropolitan Statistical Area",
224,"San Francisco, City and County of",California,67,"825,863","San Francisco-Oakland-Hayward, CA Metropolitan Statistical Area","San Jose-San Francisco-Oakland, CA Combined Statistical Area"
225,San Joaquin County,California,87,"702,612","Stockton-Lodi, CA Metropolitan Statistical Area","San Jose-San Francisco-Oakland, CA Combined Statistical Area"
226,San Luis Obispo County,California,241,"274,804","San Luis Obispo-Paso Robles-Arroyo Grande, CA Metropolitan Statistical Area",
227,San Mateo County,California,82,"739,311","San Francisco-Oakland-Hayward, CA Metropolitan Statistical Area","San Jose-San Francisco-Oakland, CA Combined Statistical Area"
228,Santa Barbara County,California,157,"431,249","Santa Maria-Santa Barbara, CA Metropolitan Statistical Area",
229,Santa Clara County,California,16,"1,837,504","San Jose-Sunnyvale-Santa Clara, CA Metropolitan Statistical Area","San Jose-San Francisco-Oakland, CA Combined Statistical Area"
230,Santa Cruz County,California,249,"266,776","Santa Cruz-Watsonville, CA Metropolitan Statistical Area","San Jose-San Francisco-Oakland, CA Combined Statistical Area"
231,Shasta County,California,354,"178,586","Redding, CA Metropolitan Statistical Area","Redding-Red Bluff, CA Combined Statistical Area"
232,Sierra County,California,2970,"3,086",,
233,Siskiyou County,California,1083,"44,154",,
234,Solano County,California,162,"420,757","Vallejo-Fairfield, CA Metropolitan Statistical Area","San Jose-San Francisco-Oakland, CA Combined Statistical Area"
235,Sonoma County,California,137,"491,829","Santa Rosa, CA Metropolitan Statistical Area","San Jose-San Francisco-Oakland, CA Combined Statistical Area"
236,Stanislaus County,California,125,"521,726","Modesto, CA Metropolitan Statistical Area","Modesto-Merced, CA Combined Statistical Area"
237,Sutter County,California,611,"95,022","Yuba City, CA Metropolitan Statistical Area","Sacramento-Roseville, CA Combined Statistical Area"
238,Tehama County,California,825,"63,406","Red Bluff, CA Micropolitan Statistical Area","Redding-Red Bluff, CA Combined Statistical Area"
239,Trinity County,California,2212,"13,526",,
240,Tulare County,California,147,"451,977","Visalia-Porterville, CA Metropolitan Statistical Area","Visalia-Porterville-Hanford, CA Combined Statistical Area"
241,Tuolumne County,California,924,"54,008","Sonora, CA Micropolitan Statistical Area",
242,Ventura County,California,64,"835,981","Oxnard-Thousand Oaks-Ventura, CA Metropolitan Statistical Area","Los Angeles-Long Beach, CA Combined Statistical Area"
243,Yolo County,California,307,"204,118","Sacramento–Roseville–Arden-Arcade, CA Metropolitan Statistical Area","Sacramento-Roseville, CA Combined Statistical Area"
244,Yuba County,California,745,"72,926","Yuba City, CA Metropolitan Statistical Area","Sacramento-Roseville, CA Combined Statistical Area"
245,Adams County,Colorado,145,"459,598","Denver-Aurora-Lakewood, CO Metropolitan Statistical Area","Denver-Aurora, CO Combined Statistical Area"
246,Alamosa County,Colorado,2034,"16,148",,
247,Arapahoe County,Colorado,108,"595,546","Denver-Aurora-Lakewood, CO Metropolitan Statistical Area","Denver-Aurora, CO Combined Statistical Area"
248,Archuleta County,Colorado,2295,"12,070",,
249,Baca County,Colorado,2926,"3,751",,
250,Bent County,Colorado,2782,"5,773",,
251,Boulder County,Colorado,213,"305,318","Boulder, CO Metropolitan Statistical Area","Denver-Aurora, CO Combined Statistical Area"
252,"Broomfield, City and County of",Colorado,879,"58,298","Denver-Aurora-Lakewood, CO Metropolitan Statistical Area","Denver-Aurora, CO Combined Statistical Area"
253,Chaffee County,Colorado,1913,"18,150",,
254,Cheyenne County,Colorado,3068,"1,874",,
255,Clear Creek County,Colorado,2519,"9,026","Denver-Aurora-Lakewood, CO Metropolitan Statistical Area","Denver-Aurora, CO Combined Statistical Area"
256,Conejos County,Colorado,2588,"8,275",,
257,Costilla County,Colorado,2937,"3,594",,
258,Crowley County,Colorado,2814,"5,365",,
259,Custer County,Colorado,2888,"4,249",,
260,Delta County,Colorado,1421,"30,432",,
261,"Denver, City and County of",Colorado,98,"634,265","Denver-Aurora-Lakewood, CO Metropolitan Statistical Area","Denver-Aurora, CO Combined Statistical Area"
262,Dolores County,Colorado,3054,"1,994",,
263,Douglas County,Colorado,221,"298,215","Denver-Aurora-Lakewood, CO Metropolitan Statistical Area","Denver-Aurora, CO Combined Statistical Area"
264,Eagle County,Colorado,957,"51,874","Edwards, CO Micropolitan Statistical Area","Edwards-Glenwood Springs, CO Combined Statistical Area"
265,Elbert County,Colorado,1669,"23,383","Denver-Aurora-Lakewood, CO Metropolitan Statistical Area","Denver-Aurora, CO Combined Statistical Area"
266,El Paso County,Colorado,97,"644,964","Colorado Springs, CO Metropolitan Statistical Area",
267,Fremont County,Colorado,1030,"46,788","Cañon City, CO Micropolitan Statistical Area","Pueblo-Cañon City, CO Combined Statistical Area"
268,Garfield County,Colorado,891,"56,953","Glenwood Springs, CO Micropolitan Statistical Area","Edwards-Glenwood Springs, CO Combined Statistical Area"
269,Gilpin County,Colorado,2806,"5,491","Denver-Aurora-Lakewood, CO Metropolitan Statistical Area","Denver-Aurora, CO Combined Statistical Area"
270,Grand County,Colorado,2163,"14,195",,
271,Gunnison County,Colorado,2077,"15,475",,
272,Hinsdale County,Colorado,3118,810,,
273,Huerfano County,Colorado,2715,"6,596",,
274,Jackson County,Colorado,3092,"1,348",,
275,Jefferson County,Colorado,117,"545,358","Denver-Aurora-Lakewood, CO Metropolitan Statistical Area","Denver-Aurora, CO Combined Statistical Area"
276,Kiowa County,Colorado,3085,"1,444",,
277,Kit Carson County,Colorado,2594,"8,094",,
278,Lake County,Colorado,2651,"7,338",,
279,La Plata County,Colorado,949,"52,401","Durango, CO Micropolitan Statistical Area",
280,Larimer County,Colorado,209,"310,487","Fort Collins, CO Metropolitan Statistical Area",
281,Las Animas County,Colorado,2111,"14,945",,
282,Lincoln County,Colorado,2809,"5,453",,
283,Logan County,Colorado,1703,"22,631","Sterling, CO Micropolitan Statistical Area",
284,Mesa County,Colorado,424,"147,848","Grand Junction, CO Metropolitan Statistical Area",
285,Mineral County,Colorado,3128,709,,
286,Moffat County,Colorado,2231,"13,200","Craig, CO Micropolitan Statistical Area","Steamboat Springs-Craig, CO Combined Statistical Area"
287,Montezuma County,Colorado,1591,"25,431",,
288,Montrose County,Colorado,1161,"40,725","Montrose, CO Micropolitan Statistical Area",
289,Morgan County,Colorado,1470,"28,472","Fort Morgan, CO Micropolitan Statistical Area",
290,Otero County,Colorado,1888,"18,698",,
291,Ouray County,Colorado,2867,"4,530",,
292,Park County,Colorado,2045,"16,029","Denver-Aurora-Lakewood, CO Metropolitan Statistical Area","Denver-Aurora, CO Combined Statistical Area"
293,Phillips County,Colorado,2877,"4,367",,
294,Pitkin County,Colorado,1965,"17,263","Glenwood Springs, CO Micropolitan Statistical Area","Edwards-Glenwood Springs, CO Combined Statistical Area"
295,Prowers County,Colorado,2280,"12,389",,
296,Pueblo County,Colorado,390,"160,852","Pueblo, CO Metropolitan Statistical Area","Pueblo-Cañon City, CO Combined Statistical Area"
297,Rio Blanco County,Colorado,2694,"6,857",,
298,Rio Grande County,Colorado,2302,"11,943",,
299,Routt County,Colorado,1674,"23,334","Steamboat Springs, CO Micropolitan Statistical Area","Steamboat Springs-Craig, CO Combined Statistical Area"
300,Saguache County,Colorado,2739,"6,304",,
301,San Juan County,Colorado,3130,690,,
302,San Miguel County,Colorado,2635,"7,580",,
303,Sedgwick County,Colorado,3017,"2,383",,
304,Summit County,Colorado,1492,"28,044","Breckenridge, CO Micropolitan Statistical Area",
305,Teller County,Colorado,1668,"23,389","Colorado Springs, CO Metropolitan Statistical Area",
306,Washington County,Colorado,2855,"4,766",,
307,Weld County,Colorado,253,"263,691","Greeley, CO Metropolitan Statistical Area","Denver-Aurora, CO Combined Statistical Area"
308,Yuma County,Colorado,2434,"10,119",,
309,Fairfield County,Connecticut,51,"933,835","Bridgeport-Stamford-Norwalk, CT Metropolitan Statistical Area","New York-Newark, NY-NJ-CT-PA Combined Statistical Area"
310,Hartford County,Connecticut,57,"897,259","Hartford-West Hartford-East Hartford, CT Metropolitan Statistical Area","Hartford-West Hartford, CT Combined Statistical Area"
311,Litchfield County,Connecticut,338,"187,530","Torrington, CT Micropolitan Statistical Area","New York-Newark, NY-NJ-CT-PA Combined Statistical Area"
312,Middlesex County,Connecticut,380,"165,602","Hartford-West Hartford-East Hartford, CT Metropolitan Statistical Area","Hartford-West Hartford, CT Combined Statistical Area"
313,New Haven County,Connecticut,60,"862,813","New Haven-Milford, CT Metropolitan Statistical Area","New York-Newark, NY-NJ-CT-PA Combined Statistical Area"
