SNo,County or equivalent,State or district,Rank,Population,Core Based Statistical Area,Combined Statistical Area
1239,Barry County,Michigan,875,"58,990","Grand Rapids-Wyoming, MI Metropolitan Statistical Area","Grand Rapids-Wyoming-Muskegon, MI Combined Statistical Area"
1240,Bay County,Michigan,557,"106,935","Bay City, MI Metropolitan Statistical Area","Saginaw-Midland-Bay City, MI Combined Statistical Area"
1241,Benzie County,Michigan,1955,"17,465","Traverse City, MI Micropolitan Statistical Area",
1242,Berrien County,Michigan,404,"156,067","Niles-Benton Harbor, MI Metropolitan Statistical Area","South Bend-Elkhart-Mishawaka, IN-MI Combined Statistical Area"
1243,Branch County,Michigan,1088,"43,868","Coldwater, MI Micropolitan Statistical Area",
1244,Calhoun County,Michigan,464,"135,099","Battle Creek, MI Metropolitan Statistical Area","Kalamazoo-Battle Creek-Portage, MI Combined Statistical Area"
1245,Cass County,Michigan,951,"52,242","South Bend-Mishawaka, IN-MI Metropolitan Statistical Area","South Bend-Elkhart-Mishawaka, IN-MI Combined Statistical Area"
1246,Charlevoix County,Michigan,1561,"26,023",,
1247,Cheboygan County,Michigan,1570,"25,835",,
1248,Chippewa County,Michigan,1198,"38,917","Sault Ste. Marie, MI Micropolitan Statistical Area",
1249,Clare County,Michigan,1415,"30,753",,
1250,Clinton County,Michigan,720,"76,001","Lansing-East Lansing, MI Metropolitan Statistical Area","Lansing-East Lansing-Owosso, MI Combined Statistical Area"
1251,Crawford County,Michigan,2175,"14,009",,
1252,Delta County,Michigan,1251,"36,884","Escanaba, MI Micropolitan Statistical Area",
1253,Dickinson County,Michigan,1554,"26,220","Iron Mountain, MI-WI Micropolitan Statistical Area",
1254,Eaton County,Michigan,549,"108,008","Lansing-East Lansing, MI Metropolitan Statistical Area","Lansing-East Lansing-Owosso, MI Combined Statistical Area"
1255,Emmet County,Michigan,1359,"32,915",,
1256,Genesee County,Michigan,163,"418,408","Flint, MI Metropolitan Statistical Area","Detroit-Warren-Ann Arbor, MI Combined Statistical Area"
1257,Gladwin County,Michigan,1587,"25,484",,
1258,Gogebic County,Michigan,2040,"16,084",,
